G85,I'm going to try and do a good job on it. ,,I'mma try and do a good job on it. ,,,,,,,,,,,,,,,
G86,Your turn?,,Your turn?,,,,,,,,,,,,,Alex_Oh_why_curious,"start=""sp1:start"" end=""sp1:start+1.5""/><face type='FACS' au='2' amount='.1' stroke='sp1:start+0' end='sp1:start+.2'/><face type='FACS' au='4' amount='.4' stroke='sp1:start+.2' end='sp1:start+1.4'/><face type='FACS' au='45' amount='.4' stroke='sp1:start+.2' end='sp1:start+1.4'","start=""sp1:start"" end=""sp1:start+1.5""/><face type='FACS' au='2' amount='.1' stroke='sp1:start+0' end='sp1:start+.2'/><face type='FACS' au='4' amount='.4' stroke='sp1:start+.2' end='sp1:start+1.4'/><face type='FACS' au='45' amount='.4' stroke='sp1:start+.2' end='sp1:start+1.4'"
G87,"Oookay. That was embarrassing, haha.",,Oookay. Dat was embarrassing haha.,,,,,,,,,,,,,,,
G88,I think basically just like the stuff we talked about.,,I fink basically just like the stuff we talk about.,,,,,,,,,,,,,,,
G89,"Okay, let me think for a minute and figure out what I'm gonna say",,"Okay, lemme fink for a minute and figure out what I'mma say",,,,,,,,,,,,,,,
G90,Because,,Cuz  ,,,,,,,,,,,,,Alex_Oh,,
G91,and,,and,,,,,,,,,,,,,Alex_Oh,,
G92b,See ya!,,See ya!,,,,,,,,,,,,,,,
G92a,See ya!,,See ya!,,,,,,,,,,,,,Alex_Hi,"start=""sp1:start"" end=""sp1:start+1.5""/><face type='FACS' au='2' amount='0.4' stroke='sp1:start' end='sp1:start+1'","start=""sp1:start"" end=""sp1:start+1.5""/><face type='FACS' au='2' amount='0.4' stroke='sp1:start' end='sp1:start+1'"
G93b,Bye!,,Bye!,,,,,,,,,,,,,,,
G93a,Bye!,,Bye!,,,,,,,,,,,,,Alex_Hi,"start=""sp1:start"" end=""sp1:start+1.5""/><face type='FACS' au='2' amount='0.4' stroke='sp1:start' end='sp1:start+1'","start=""sp1:start"" end=""sp1:start+1.5""/><face type='FACS' au='2' amount='0.4' stroke='sp1:start' end='sp1:start+1'"
